data,Regione,Totale Casi,Casi TI,Ricoverati con Sintomi,Totale Casi (lag),Incremento (unità),PL area non critica,PL TI,Popolazione,Nuovi Vaccinati,Vaccinati,incidenza,Saturazione TI,Saturazione area non critica,casi_soglia_50,casi_soglia_150,casi_soglia_250,vaccinati_suscettibili,suscettibili,casi_soglia_50_suscettibili,casi_soglia_150_suscettibili,casi_soglia_250_suscettibili,soglia_50_effettiva,soglia_150_effettiva,soglia_250_effettiva,moltiplicatore_vaccini,soglia_50_equivalente,soglia_150_equivalente,soglia_250_equivalente,Indicatore di Stress
2022-05-07,Abruzzo,384863,9,301,374136,10727,1324,185,1285256,10,1073619,834.62,0.05,0.23,642.63,1927.88,3213.14,53681,265318,132.66,397.98,663.3,10,31,52,4.84,242,727,1211,3.45
2022-05-07,Basilicata,131024,2,101,127534,3490,342,88,547579,9,457306,637.35,0.02,0.3,273.79,821.37,1368.95,22865,113138,56.57,169.71,282.85,10,31,52,4.84,242,726,1210,2.63
2022-05-07,Calabria,368410,11,240,357883,10527,821,151,1877728,57,1519408,560.62,0.07,0.29,938.86,2816.59,4694.32,75970,434290,217.15,651.44,1085.73,12,35,58,4.32,216,649,1081,2.6
2022-05-07,Campania,1639075,38,647,1604395,34680,3832,569,5679759,140,4628081,610.59,0.07,0.17,2839.88,8519.64,14199.4,231404,1283082,641.54,1924.62,3207.7,11,34,56,4.43,221,664,1107,2.76
2022-05-07,Emilia-Romagna,1435126,34,1203,1411326,23800,6538,760,4445549,138,3781524,535.37,0.04,0.18,2222.77,6668.32,11113.87,189076,853101,426.55,1279.65,2132.75,10,29,48,5.21,261,782,1303,2.05
2022-05-07,Friuli Venezia Giulia,368485,3,160,363309,5176,1277,175,1198753,2,980779,431.78,0.02,0.13,599.38,1798.13,2996.88,49039,267013,133.51,400.52,667.53,11,33,56,4.49,224,673,1122,1.93
2022-05-07,Lazio,1510909,58,1058,1483701,27208,6421,943,5720796,128,4948042,475.6,0.06,0.16,2860.4,8581.19,14301.99,247402,1020156,510.08,1530.23,2550.39,9,27,45,5.61,280,841,1402,1.7
2022-05-07,Liguria,434234,14,261,426923,7311,1670,214,1509805,28,1278009,484.23,0.07,0.16,754.9,2264.71,3774.51,63900,295696,147.85,443.54,739.24,10,29,49,5.11,255,766,1276,1.9
2022-05-07,Lombardia,2805793,34,1131,2765392,40401,6369,1416,9966992,379,8580220,405.35,0.02,0.18,4983.5,14950.49,24917.48,429011,1815783,907.89,2723.67,4539.46,9,27,46,5.49,274,823,1372,1.48
2022-05-07,Marche,454146,5,146,444500,9646,951,209,1501406,24,1223469,642.46,0.02,0.15,750.7,2252.11,3753.52,61173,339110,169.55,508.66,847.78,11,34,56,4.43,221,664,1107,2.91
2022-05-07,Molise,61976,2,21,59887,2089,176,39,296547,5,254442,704.44,0.05,0.12,148.27,444.82,741.37,12722,54827,27.41,82.24,137.07,9,28,46,5.41,270,811,1352,2.61
2022-05-07,P.A. Trento,163272,2,58,161187,2085,517,60,544745,1,452165,382.75,0.03,0.11,272.37,817.12,1361.86,22608,115188,57.59,172.78,287.97,11,32,53,4.73,236,709,1182,1.62
2022-05-07,Piemonte,1161422,19,665,1144372,17050,5824,628,4273210,87,3553378,399,0.03,0.11,2136.6,6409.82,10683.03,177669,897501,448.75,1346.25,2243.75,11,32,53,4.76,238,714,1190,1.68
2022-05-07,Puglia,1089351,27,530,1066603,22748,2799,462,3926931,11,3421370,579.28,0.06,0.19,1963.47,5890.4,9817.33,171069,676630,338.32,1014.94,1691.58,9,26,43,5.8,290,871,1451,2
2022-05-07,Sardegna,288866,8,266,279919,8947,1602,216,1598225,8,1360239,559.81,0.04,0.17,799.11,2397.34,3995.56,68012,305998,153,459,765,10,29,48,5.22,261,783,1306,2.14
2022-05-07,Sicilia,1135945,38,723,1112013,23932,2918,644,4840876,115,3868120,494.37,0.06,0.25,2420.44,7261.31,12102.19,193406,1166162,583.08,1749.24,2915.4,12,36,60,4.15,208,623,1038,2.38
2022-05-07,Toscana,1114150,23,499,1097551,16599,5033,570,3668333,72,3203699,452.49,0.04,0.1,1834.17,5502.5,9170.83,160185,624819,312.41,937.23,1562.05,9,26,43,5.87,294,881,1468,1.54
2022-05-07,Umbria,273797,5,209,268201,5596,671,97,865013,13,736249,646.93,0.05,0.31,432.51,1297.52,2162.53,36812,165576,82.79,248.36,413.94,10,29,48,5.22,261,784,1306,2.48
2022-05-07,Italia,16767773,355,8815,16463200,304573,55543,8549,59257566,1227,49869083,513.98,0.04,0.16,29628.78,88886.35,148143.91,2493454,11881937,5940.97,17822.91,29704.84,10,30,50,4.99,249,748,1247,2.06
